2026-09-12 04:22:20 CST
warning: `/Users/qsyj/.cargo/config` is deprecated in favor of `config.toml`
  |
  = help: if you need to support cargo 1.38 or earlier, you can symlink `config` to `config.toml`
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.10s
     Running unittests src/lib.rs (target/debug/deps/everything_manual-51b408f288407587)

running 89 tests
test assets::blob_store::tests::blob_path_is_derived_from_hash_only ... ok
test assets::blob_store::tests::insufficient_space_message_mentions_both_numbers ... ok
test assets::blob_store::tests::space_probe_fixed_is_deterministic ... ok
test assets::maintenance::tests::scan_report_emptiness ... ok
test assets::maintenance::tests::sha256_shape_predicate ... ok
test assets::pdf::tests::count_refs_counts_array_entries ... ok
test assets::pdf::tests::find_integer_reads_count ... ok
test assets::pdf::tests::find_ref_requires_full_token_and_reference_shape ... ok
test assets::blob_store::tests::statvfs_reports_some_space_for_temp_dir ... ok
test assets::pdf::tests::last_integer_after_uses_last_startxref ... ok
test assets::pdf::tests::object_header_is_recognised ... ok
test assets::range::tests::conditional_headers_compare_strong_etags ... ok
test assets::range::tests::multi_range_and_broken_syntax_fall_back_to_full ... ok
test assets::range::tests::range_length_is_inclusive ... ok
test assets::range::tests::single_range_forms_are_satisfiable ... ok
test assets::range::tests::unsatisfiable_ranges_are_reported ... ok
test assets::upload::tests::purpose_wire_values_are_camel_case ... ok
test assets::upload::tests::original_name_never_keeps_path_components ... ok
test assets::validate::tests::crc32_matches_known_value ... ok
test assets::validate::tests::pixel_budget_is_enforced_with_details ... ok
test assets::validate::tests::purpose_limits_follow_the_purpose ... ok
test assets::pdf::tests::probe_rejects_non_pdf_bytes ... ok
test config::cli::tests::missing_required_backup_out_fails ... ok
test config::cli::tests::bad_listen_value_is_reported ... ok
test assets::validate::tests::photo_purpose_rejects_unknown_magic ... ok
test config::cli::tests::password_is_never_a_command_line_option ... ok
test config::cli::tests::dispatches_all_subcommands ... ok
test config::cli::tests::unknown_subcommand_is_a_usage_error ... ok
test config::commands::tests::backup_and_restore_report_not_implemented ... ok
test config::commands::tests::unknown_subcommand_maps_to_usage_error ... ok
test assets::validate::tests::text_purpose_rejects_invalid_utf8 ... ok
test assets::validate::tests::non_pdf_for_document_purpose_is_unsupported_type ... ok
test config::datadir::tests::verify_reports_missing_structure ... ok
test config::error::tests::exit_codes_are_stable_contract_values ... ok
